Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5198636059901050057378450161,0.519863605990105,0.519863605990105,0.519863605990105,0.519863605990105,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,1710090
0.02,0,0.4873440205728576813092742613,0.487344020572858,0.487344020572858,0.487344020572858,0.487344020572858,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,3420180
0.03,0,0.4814371977371775817390460156,0.481437197737178,0.481437197737178,0.481437197737178,0.481437197737178,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,5130269
0.04,0,0.4946655519959101988729215821,0.49466555199591,0.49466555199591,0.49466555199591,0.49466555199591,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,6840359
0.05,0,0.5000242759729714637877646245,0.500024275972971,0.500024275972971,0.500024275972971,0.500024275972971,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,8550449
0.06,0,0.5019783941371407392302604787,0.501978394137141,0.501978394137141,0.501978394137141,0.501978394137141,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,10260540
0.07,0,0.5022719227265962093662137598,0.502271922726596,0.502271922726596,0.502271922726596,0.502271922726596,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,11970630
0.08,0,0.5016972302373622371419801990,0.501697230237362,0.501697230237362,0.501697230237362,0.501697230237362,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,13680720
0.09,0,0.5006524010846107881202499665,0.500652401084611,0.500652401084611,0.500652401084611,0.500652401084611,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,15390810
0.10,0,0.4993520789498679067026486681,0.499352078949868,0.499352078949868,0.499352078949868,0.499352078949868,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,17100900
0.11,0,0.4979179201957352829042162899,0.497917920195735,0.497917920195735,0.497917920195735,0.497917920195735,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,18810990
0.12,0,0.4964213425323516516664374694,0.496421342532352,0.496421342532352,0.496421342532352,0.496421342532352,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,20521080
0.13,0,0.4949052625897940870368929435,0.494905262589794,0.494905262589794,0.494905262589794,0.494905262589794,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,22231170
0.14,0,0.4933958467206230134532903510,0.493395846720623,0.493395846720623,0.493395846720623,0.493395846720623,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,23941260
0.15,0,0.4919089729011509984643151011,0.491908972901151,0.491908972901151,0.491908972901151,0.491908972901151,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,25651350
0.16,0,0.4904541608468802596975129213,0.49045416084688,0.49045416084688,0.49045416084688,0.49045416084688,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,27361440
0.17,0,0.4890368706007366181905082901,0.489036870600737,0.489036870600737,0.489036870600737,0.489036870600737,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,29071530
0.18,0,0.4876600028685228515755236305,0.487660002868523,0.487660002868523,0.487660002868523,0.487660002868523,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,30781620
0.19,0,0.4863247663352013003900963847,0.486324766335201,0.486324766335201,0.486324766335201,0.486324766335201,0,0,0,0,18.915511692407954353934153256,235.1914746315916559322199162,229.61432777344192664518175729,32491700
